# English link-stemming table for BibleSearch (word<TAB>link heads).
# Built with tools/eng_links/build_links.py from:
#  - AGID (Automatically Generated Inflection Database), Rev. 4.
#    Copyright 2000-2003 by Kevin Atkinson. Permission to use, copy, modify,
#    distribute and sell this database, the associated scripts, the output
#    created from the scripts and its documentation for any purpose is hereby
#    granted without fee, provided that the above copyright notice appears in
#    all copies. http://wordlist.aspell.net/
#  - Open English WordNet 2025, by the Open English WordNet Community,
#    CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/), derived from
#    Princeton WordNet 3.0, Copyright 2006 by Princeton University.
#    https://en-word.net/
ahimoth	ahimoth
ahinadab	ahinadab
ahinoam	ahinoam
ahio	ahio
ahira	ahira
ahiram	ahiram
ahiramite	ahiram
ahisamach	ahisamach
ahishahar	ahishahar
ahishar	ahishar
ahithophel	ahithophel
ahitub	ahitub
ahlab	ahlab
ahlai	ahlai
ahoah	ahoah
ahohi	ahohi
ahohite	ahohi
ahumai	ahumai
ahuzzam	ahuzzam
ahuzzath	ahuzzath
ahzai	ahzai
ai	ai
aiah	aiah
aid	aid
aided	aid,aide
aija	aija
aijalon	aijalon
ailing	ail
ailment	ail
ailments	ail
ails	ail
aim	aim
aimlessly	aim
ain	ain
air	air
akan	akan
akeldama	akeldama
akkub	akkub
akrabbim	akrabbim
alabaster	alabaster
alamoth	alamoth
alarmed	alarm
alas	ala
albon	albon
alemeth	alemeth
alert	alert
alexander	alexander
alexandria	alexandria
alexandrian	alexandria
alexandrians	alexandria
algum	algum
algums	algum
alienated	alienate
aliens	alien
alike	like
alive	live
all	all
allammelech	allammelech
allegories	allegory
allegorized	allegory
allegory	allegory
alliance	ally
allied	ally
allies	ally
allon	allon
allot	lot
allotment	lot
allotments	lot
allotted	lot
allotting	lot
allow	allow
allowance	allow
allowed	allow
allowing	allow
alloys	alloy
alltogether	alltogether
almighty	almighty
almodad	almodad
almon	almon
almond	almond
almonds	almond
almost	almost
alms	alms
almug	almug
aloes	aloe
alone	alone
along	along
alongside	alongside
aloth	aloth
aloud	aloud
alpha	alpha
alphaeus	alphaeus
already	already
also	also
altar	altar
altars	altar
alter	alter
although	though
altogether	altogether
alush	alush
alvah	alvah
alvan	alvan
always	alway
am	am,be
amad	amad
amal	amal
amalek	amalek
amalekite	amalek
amam	amam
amana	amana
amariah	amariah
amasa	amasa
amasai	amasai
amashai	amashai
amasiah	amasiah
amaze	amaze
amazed	amaze
amazement	amaze
